order_id,customer_id,product_id,order_date,delivery_date,payment_mode,customer_review,order_quantity,order_status
ORD00055,CUST04027,PROD0239,08-06-2024,17-06-2024,UPI,4,5,Delivered
ORD00056,CUST01615,PROD0242,06-05-2022,08-05-2022,Card,5,3,Delivered
ORD00057,CUST04508,PROD0224,04-08-2024,06-08-2024,Card,2,1,Delivered
ORD00058,CUST03485,PROD0216,05-12-2023,09-12-2023,UPI,3,2,Delivered
ORD00059,CUST01524,PROD0125,08-03-2024,11-03-2024,Card,4,3,Delivered
ORD00060,CUST02653,PROD0116,23-12-2024,27-12-2024,Cash,1,5,Delivered
ORD00061,CUST03221,PROD0195,17-04-2023,21-04-2023,UPI,2,3,Delivered
ORD00062,CUST02462,PROD0218,06-03-2022,12-03-2022,Card,4,4,Delivered
ORD00063,CUST03718,PROD0124,30-08-2024,05-09-2024,Card,3,5,Delivered
ORD00064,CUST02669,PROD0005,08-12-2022,14-12-2022,UPI,3,4,Delivered
ORD00065,CUST03051,PROD0231,18-07-2024,,UPI,,5,Cancelled
ORD00066,CUST04096,PROD0127,12-07-2024,,Card,2,5,Returned
ORD00067,CUST03332,PROD0149,22-03-2024,,UPI,3,3,Returned
ORD00068,CUST00303,PROD0161,24-01-2024,02-02-2024,UPI,3,5,Delivered
ORD00069,CUST01277,PROD0018,28-07-2023,05-08-2023,UPI,1,3,Delivered
ORD00070,CUST04021,PROD0074,13-10-2022,,Cash,,3,Cancelled
ORD00071,CUST03702,PROD0188,01-08-2024,05-08-2024,Cash,1,1,Delivered
ORD00072,CUST04534,PROD0208,15-11-2024,17-11-2024,Card,1,4,Delivered
ORD00073,CUST04200,PROD0105,08-05-2022,15-05-2022,Card,3,3,Delivered
ORD00074,CUST04009,PROD0120,06-09-2022,11-09-2022,Cash,2,1,Delivered
ORD00075,CUST03412,PROD0065,23-09-2024,30-09-2024,UPI,5,3,Delivered
ORD00076,CUST03364,PROD0103,14-08-2022,19-08-2022,Cash,5,4,Delivered
ORD00077,CUST03424,PROD0003,17-04-2023,,UPI,,1,Cancelled
ORD00078,CUST02788,PROD0144,07-11-2022,15-11-2022,Card,1,5,Delivered
ORD00079,CUST00888,PROD0204,17-09-2024,20-09-2024,UPI,1,4,Delivered
ORD00080,CUST03943,PROD0212,03-10-2022,09-10-2022,UPI,2,1,Delivered
ORD00081,CUST01572,PROD0143,11-05-2023,14-05-2023,Card,2,3,Delivered
ORD00082,CUST01859,PROD0139,04-11-2023,10-11-2023,Cash,5,3,Delivered
ORD00083,CUST01198,PROD0137,10-05-2022,19-05-2022,Card,3,5,Delivered
ORD00084,CUST00598,PROD0042,07-01-2024,16-01-2024,Cash,4,5,Delivered
ORD00085,CUST02725,PROD0017,01-05-2023,05-05-2023,Card,3,3,Delivered
ORD00086,CUST03540,PROD0135,10-12-2023,18-12-2023,Card,3,1,Delivered
ORD00087,CUST02311,PROD0211,30-12-2024,,Cash,2,4,Returned
ORD00088,CUST02131,PROD0194,10-05-2023,12-05-2023,UPI,4,1,Delivered
ORD00089,CUST04447,PROD0027,26-06-2022,,Card,3,1,Returned
ORD00090,CUST00478,PROD0061,25-05-2022,02-06-2022,UPI,2,2,Delivered
ORD00091,CUST02415,PROD0165,21-07-2022,,UPI,2,2,Returned
ORD00092,CUST01648,PROD0076,28-05-2024,02-06-2024,Cash,3,4,Delivered
ORD00093,CUST03240,PROD0216,16-01-2023,22-01-2023,Card,1,1,Delivered
ORD00094,CUST04503,PROD0216,14-09-2024,18-09-2024,Card,3,4,Delivered
ORD00095,CUST01791,PROD0095,19-02-2022,26-02-2022,UPI,3,2,Delivered
ORD00096,CUST01023,PROD0067,09-11-2022,,UPI,,5,Cancelled
ORD00097,CUST04697,PROD0162,15-03-2022,23-03-2022,UPI,5,5,Delivered
ORD00098,CUST01503,PROD0126,10-04-2024,14-04-2024,UPI,5,5,Delivered
ORD00099,CUST04189,PROD0199,06-01-2023,09-01-2023,Cash,3,2,Delivered
ORD00100,CUST00365,PROD0194,06-05-2024,14-05-2024,Card,4,4,Delivered
ORD00101,CUST00155,PROD0072,12-08-2023,19-08-2023,Card,4,5,Delivered
ORD00102,CUST01628,PROD0221,08-10-2023,16-10-2023,Card,3,4,Delivered
ORD00103,CUST04961,PROD0162,21-09-2022,28-09-2022,Card,5,1,Delivered
ORD00104,CUST00695,PROD0052,18-06-2023,20-06-2023,Card,4,3,Delivered
ORD00105,CUST02047,PROD0034,10-09-2023,,UPI,2,4,Returned
ORD00106,CUST02876,PROD0200,08-11-2023,14-11-2023,Card,3,4,Delivered
ORD00107,CUST04871,PROD0238,20-02-2023,27-02-2023,Cash,3,4,Delivered
ORD00108,CUST00111,PROD0168,04-01-2024,11-01-2024,Card,1,3,Delivered
ORD00109,CUST03270,PROD0055,09-10-2023,15-10-2023,Cash,5,4,Delivered
ORD00110,CUST01916,PROD0172,02-11-2023,12-11-2023,Cash,4,1,Delivered
ORD00111,CUST01107,PROD0238,30-10-2022,05-11-2022,Card,2,1,Delivered
ORD00112,CUST00224,PROD0014,06-12-2024,08-12-2024,Card,4,1,Delivered
ORD00113,CUST04270,PROD0066,19-11-2023,26-11-2023,Cash,4,5,Delivered
ORD00114,CUST01790,PROD0151,09-09-2024,,Cash,,1,Cancelled
ORD00115,CUST01193,PROD0168,13-12-2022,,Cash,1,4,Returned
ORD00116,CUST04546,PROD0238,18-10-2022,,UPI,2,5,Returned
ORD00117,CUST04520,PROD0134,22-06-2023,02-07-2023,Cash,4,5,Delivered
ORD00118,CUST02202,PROD0169,26-02-2023,28-02-2023,Cash,3,1,Delivered
ORD00119,CUST00523,PROD0046,22-12-2024,,Card,,3,Cancelled
ORD00120,CUST00952,PROD0225,07-11-2024,13-11-2024,Cash,1,2,Delivered
ORD00121,CUST02050,PROD0097,20-01-2022,25-01-2022,Cash,1,3,Delivered
ORD00122,CUST00884,PROD0172,27-08-2023,06-09-2023,UPI,3,1,Delivered
ORD00123,CUST02433,PROD0134,09-11-2023,19-11-2023,Card,3,3,Delivered
ORD00124,CUST01804,PROD0013,22-09-2023,,Card,3,3,Returned
ORD00125,CUST02328,PROD0213,06-05-2022,,Cash,1,1,Returned
ORD00126,CUST04466,PROD0103,24-04-2022,29-04-2022,UPI,3,5,Delivered
ORD00127,CUST03962,PROD0118,25-05-2024,01-06-2024,UPI,4,4,Delivered
ORD00128,CUST00488,PROD0189,28-01-2024,31-01-2024,Card,3,5,Delivered
ORD00129,CUST01483,PROD0214,01-10-2023,05-10-2023,Cash,3,5,Delivered
ORD00130,CUST00101,PROD0109,18-02-2022,24-02-2022,Card,5,1,Delivered
ORD00131,CUST01270,PROD0011,30-12-2023,09-01-2024,Cash,3,5,Delivered
ORD00132,CUST00331,PROD0207,25-10-2023,29-10-2023,Cash,3,2,Delivered
ORD00133,CUST02578,PROD0166,11-01-2022,13-01-2022,Card,2,4,Delivered
ORD00134,CUST03976,PROD0040,06-06-2022,12-06-2022,UPI,4,1,Delivered
ORD00135,CUST04490,PROD0080,15-11-2022,23-11-2022,Card,5,1,Delivered
ORD00136,CUST00943,PROD0174,05-11-2024,13-11-2024,UPI,4,1,Delivered
ORD00137,CUST02608,PROD0211,06-06-2022,11-06-2022,Cash,3,5,Delivered
ORD00138,CUST04690,PROD0148,22-08-2024,25-08-2024,Cash,1,4,Delivered
ORD00139,CUST02471,PROD0054,11-02-2022,,Cash,2,4,Returned
ORD00140,CUST04679,PROD0220,29-12-2022,08-01-2023,UPI,4,5,Delivered
ORD00141,CUST01789,PROD0229,03-11-2024,05-11-2024,UPI,4,4,Delivered
ORD00142,CUST04292,PROD0075,20-09-2023,24-09-2023,Cash,2,4,Delivered
ORD00143,CUST00263,PROD0068,14-04-2024,18-04-2024,Cash,5,3,Delivered
ORD00144,CUST01743,PROD0028,11-11-2024,19-11-2024,Card,5,5,Delivered
ORD00145,CUST03961,PROD0243,25-12-2023,,Cash,3,2,Returned
ORD00146,CUST04603,PROD0081,08-08-2022,13-08-2022,Cash,2,3,Delivered
ORD00147,CUST01800,PROD0004,04-08-2024,,UPI,,5,Cancelled
ORD00148,CUST00168,PROD0011,04-03-2022,13-03-2022,Card,2,4,Delivered
ORD00149,CUST03599,PROD0085,17-01-2024,27-01-2024,Card,2,1,Delivered
ORD00150,CUST03206,PROD0153,16-06-2023,24-06-2023,UPI,2,4,Delivered
ORD00151,CUST02528,PROD0136,16-04-2024,22-04-2024,UPI,4,1,Delivered
ORD00152,CUST00689,PROD0127,02-04-2023,08-04-2023,Card,3,5,Delivered
ORD00153,CUST04955,PROD0211,23-05-2024,25-05-2024,Card,2,4,Delivered
ORD00154,CUST00197,PROD0195,07-05-2022,15-05-2022,Cash,1,2,Delivered
ORD00155,CUST00393,PROD0021,07-12-2024,11-12-2024,Card,1,3,Delivered
ORD00156,CUST03095,PROD0196,23-08-2023,30-08-2023,UPI,5,1,Delivered
ORD00157,CUST00920,PROD0070,24-05-2024,26-05-2024,Cash,5,3,Delivered
ORD00158,CUST02464,PROD0004,25-01-2024,01-02-2024,Card,3,1,Delivered
ORD00159,CUST01797,PROD0047,09-02-2023,,UPI,,3,Cancelled
ORD00160,CUST01381,PROD0100,26-09-2024,28-09-2024,Cash,1,1,Delivered
ORD00161,CUST00457,PROD0091,12-07-2022,,UPI,3,4,Returned
ORD00162,CUST02613,PROD0179,10-10-2022,17-10-2022,Card,5,4,Delivered
ORD00163,CUST03245,PROD0211,09-06-2022,16-06-2022,Card,4,4,Delivered
ORD00164,CUST03758,PROD0025,07-03-2024,10-03-2024,UPI,1,1,Delivered
ORD00165,CUST00960,PROD0228,30-09-2024,07-10-2024,UPI,3,2,Delivered
ORD00166,CUST01138,PROD0002,10-04-2022,16-04-2022,Cash,1,2,Delivered
ORD00167,CUST03868,PROD0016,22-09-2023,01-10-2023,UPI,1,5,Delivered
ORD00168,CUST01992,PROD0073,21-04-2024,,Card,,4,Cancelled
ORD00169,CUST02590,PROD0036,21-07-2024,23-07-2024,Card,1,3,Delivered
ORD00170,CUST01108,PROD0100,09-04-2023,18-04-2023,UPI,2,3,Delivered
ORD00171,CUST01505,PROD0078,15-09-2023,25-09-2023,UPI,4,5,Delivered
ORD00172,CUST01746,PROD0203,03-11-2022,,Card,2,5,Returned
ORD00173,CUST01008,PROD0058,21-03-2023,28-03-2023,UPI,3,5,Delivered
ORD00174,CUST00756,PROD0018,26-05-2024,,UPI,,4,Cancelled
ORD00175,CUST01714,PROD0196,11-07-2024,,Cash,3,5,Returned
ORD00176,CUST03726,PROD0131,20-08-2024,25-08-2024,Card,2,5,Delivered
ORD00177,CUST00064,PROD0132,10-04-2022,19-04-2022,Cash,3,4,Delivered
ORD00178,CUST02127,PROD0045,29-09-2023,08-10-2023,UPI,5,1,Delivered
ORD00179,CUST03500,PROD0156,04-05-2024,13-05-2024,Cash,1,4,Delivered
ORD00180,CUST02259,PROD0150,25-10-2022,01-11-2022,UPI,2,2,Delivered
ORD00181,CUST01397,PROD0138,06-04-2024,11-04-2024,Cash,4,5,Delivered
ORD00182,CUST01458,PROD0009,17-12-2024,22-12-2024,UPI,3,5,Delivered
ORD00183,CUST04154,PROD0243,20-08-2022,24-08-2022,Cash,2,5,Delivered
ORD00184,CUST01262,PROD0072,06-10-2022,15-10-2022,Card,3,4,Delivered
ORD00185,CUST03513,PROD0096,05-05-2024,,Cash,,4,Cancelled
ORD00186,CUST02345,PROD0080,17-05-2022,19-05-2022,UPI,4,5,Delivered
ORD00187,CUST02306,PROD0001,14-01-2022,,Card,3,4,Returned
ORD00188,CUST03740,PROD0192,22-12-2022,29-12-2022,UPI,5,3,Delivered
ORD00189,CUST00585,PROD0223,01-03-2022,09-03-2022,Cash,4,4,Delivered
ORD00190,CUST04116,PROD0195,24-09-2022,,UPI,2,2,Returned
ORD00191,CUST03528,PROD0039,01-07-2024,10-07-2024,UPI,4,3,Delivered
ORD00192,CUST01509,PROD0242,03-07-2024,07-07-2024,Cash,3,5,Delivered
ORD00193,CUST04615,PROD0198,15-08-2023,23-08-2023,Card,5,2,Delivered
ORD00194,CUST02508,PROD0048,24-11-2024,03-12-2024,UPI,3,3,Delivered
ORD00195,CUST00089,PROD0058,16-02-2024,23-02-2024,Card,2,5,Delivered
ORD00196,CUST01925,PROD0130,29-12-2023,03-01-2024,Card,5,3,Delivered
ORD00197,CUST01747,PROD0242,19-10-2023,28-10-2023,UPI,4,4,Delivered
ORD00198,CUST04959,PROD0227,10-09-2022,12-09-2022,Card,1,3,Delivered
ORD00199,CUST02787,PROD0128,13-05-2022,18-05-2022,Card,5,3,Delivered
ORD00200,CUST04455,PROD0213,13-10-2024,,UPI,,1,Cancelled
ORD00201,CUST00314,PROD0147,17-08-2024,26-08-2024,UPI,4,1,Delivered
ORD00202,CUST03967,PROD0001,04-07-2023,13-07-2023,UPI,3,4,Delivered
ORD00203,CUST02254,PROD0127,30-04-2022,03-05-2022,Card,5,4,Delivered
ORD00204,CUST00331,PROD0171,27-02-2022,07-03-2022,UPI,1,3,Delivered
ORD00205,CUST01382,PROD0230,23-06-2024,30-06-2024,Cash,4,2,Delivered
ORD00206,CUST02213,PROD0077,17-11-2024,23-11-2024,Card,3,4,Delivered
ORD00207,CUST00324,PROD0179,30-10-2024,06-11-2024,UPI,2,5,Delivered
ORD00208,CUST00313,PROD0134,04-12-2023,10-12-2023,Cash,2,3,Delivered
ORD00209,CUST01276,PROD0136,20-10-2022,25-10-2022,Card,4,1,Delivered
ORD00210,CUST01962,PROD0179,27-10-2023,,Card,,3,Cancelled
ORD00211,CUST01330,PROD0121,20-11-2022,22-11-2022,Card,4,3,Delivered
ORD00212,CUST01231,PROD0002,03-05-2022,12-05-2022,Cash,4,1,Delivered
ORD00213,CUST04459,PROD0143,16-08-2022,24-08-2022,Cash,3,3,Delivered
ORD00214,CUST01900,PROD0102,19-09-2024,22-09-2024,Card,3,4,Delivered
ORD00215,CUST01470,PROD0208,01-01-2022,07-01-2022,UPI,2,2,Delivered
ORD00216,CUST03268,PROD0153,19-06-2022,,Card,3,1,Returned
ORD00217,CUST00712,PROD0098,12-07-2022,21-07-2022,Cash,4,1,Delivered
ORD00218,CUST02157,PROD0053,02-03-2024,,Cash,,5,Cancelled
ORD00219,CUST00629,PROD0077,21-02-2022,02-03-2022,Cash,4,1,Delivered
ORD00220,CUST03606,PROD0192,20-08-2022,30-08-2022,Cash,4,2,Delivered
ORD00221,CUST01641,PROD0044,03-12-2023,12-12-2023,UPI,3,2,Delivered
ORD00222,CUST03514,PROD0154,05-06-2023,,UPI,3,4,Returned
ORD00223,CUST01422,PROD0055,01-05-2022,05-05-2022,Card,5,2,Delivered
ORD00224,CUST02088,PROD0187,30-12-2023,01-01-2024,Cash,3,5,Delivered
ORD00225,CUST01699,PROD0063,17-05-2022,23-05-2022,Cash,3,1,Delivered
ORD00226,CUST00272,PROD0029,18-07-2024,,Card,1,1,Returned
ORD00227,CUST02169,PROD0117,15-09-2024,,UPI,1,2,Returned
ORD00228,CUST04738,PROD0146,27-04-2024,,Card,,4,Cancelled
ORD00229,CUST00105,PROD0113,18-05-2022,21-05-2022,Cash,4,1,Delivered
ORD00230,CUST03650,PROD0066,22-01-2022,31-01-2022,Card,3,2,Delivered
ORD00231,CUST04287,PROD0154,01-08-2023,,Card,3,1,Returned
ORD00232,CUST02088,PROD0080,29-09-2024,04-10-2024,Card,2,1,Delivered
ORD00233,CUST04341,PROD0105,09-03-2024,,UPI,,3,Cancelled
ORD00234,CUST00861,PROD0133,13-08-2022,21-08-2022,Cash,3,1,Delivered
ORD00235,CUST00248,PROD0139,09-07-2022,19-07-2022,Card,4,4,Delivered
ORD00236,CUST00913,PROD0128,23-01-2024,,Card,3,4,Returned
ORD00237,CUST02433,PROD0093,18-03-2022,,UPI,,3,Cancelled
ORD00238,CUST04605,PROD0165,18-04-2024,27-04-2024,UPI,3,3,Delivered
ORD00239,CUST04352,PROD0050,03-03-2023,11-03-2023,UPI,2,1,Delivered
ORD00240,CUST04973,PROD0101,19-11-2022,23-11-2022,Cash,1,4,Delivered
ORD00241,CUST02755,PROD0091,18-09-2024,25-09-2024,UPI,5,3,Delivered
ORD00242,CUST02327,PROD0057,11-09-2022,19-09-2022,Card,2,4,Delivered
ORD00243,CUST00400,PROD0220,11-05-2022,20-05-2022,Cash,5,4,Delivered
ORD00244,CUST03968,PROD0061,09-08-2023,12-08-2023,Cash,2,3,Delivered
ORD00245,CUST01440,PROD0064,04-11-2022,11-11-2022,Cash,1,5,Delivered
ORD00246,CUST04470,PROD0140,28-04-2022,02-05-2022,Card,4,5,Delivered
ORD00247,CUST01950,PROD0155,12-05-2022,21-05-2022,UPI,5,1,Delivered
ORD00248,CUST02573,PROD0023,30-08-2024,01-09-2024,Cash,1,1,Delivered
ORD00249,CUST00827,PROD0215,28-05-2024,30-05-2024,Card,5,5,Delivered
ORD00250,CUST04810,PROD0223,31-07-2024,04-08-2024,Cash,3,2,Delivered
ORD00251,CUST02243,PROD0223,22-08-2022,30-08-2022,Card,1,2,Delivered
ORD00252,CUST03047,PROD0085,17-01-2023,25-01-2023,UPI,1,5,Delivered
ORD00253,CUST04882,PROD0189,20-08-2022,23-08-2022,Cash,2,3,Delivered
ORD00254,CUST03401,PROD0124,15-06-2024,,Card,,5,Cancelled
ORD00255,CUST03145,PROD0139,01-09-2022,,Card,3,5,Returned
ORD00256,CUST03127,PROD0045,17-04-2022,24-04-2022,Cash,3,5,Delivered
ORD00257,CUST04921,PROD0088,22-05-2022,29-05-2022,Card,3,3,Delivered
ORD00258,CUST01820,PROD0081,25-12-2023,28-12-2023,Card,2,2,Delivered
ORD00259,CUST03768,PROD0178,14-02-2023,23-02-2023,Card,5,4,Delivered
ORD00260,CUST02879,PROD0018,18-08-2022,,Card,,4,Cancelled
ORD00261,CUST00613,PROD0162,10-02-2024,18-02-2024,Card,2,5,Delivered
ORD00262,CUST00938,PROD0184,16-05-2024,24-05-2024,Cash,4,1,Delivered
ORD00263,CUST04762,PROD0070,05-07-2023,11-07-2023,Card,4,3,Delivered
ORD00264,CUST02049,PROD0196,14-10-2024,,UPI,1,4,Returned
ORD00265,CUST03245,PROD0192,27-08-2023,29-08-2023,Card,1,1,Delivered
ORD00266,CUST02788,PROD0001,30-05-2024,,Card,1,5,Returned
ORD00267,CUST04001,PROD0020,15-06-2022,23-06-2022,Card,1,5,Delivered
ORD00268,CUST02463,PROD0116,01-05-2022,08-05-2022,Card,4,4,Delivered
ORD00269,CUST04869,PROD0195,19-05-2022,,Cash,,5,Cancelled
ORD00270,CUST01355,PROD0224,06-09-2022,15-09-2022,Card,2,2,Delivered
ORD00271,CUST03824,PROD0133,05-06-2024,,Card,1,1,Returned
ORD00272,CUST00666,PROD0120,29-11-2023,07-12-2023,UPI,4,3,Delivered
ORD00273,CUST01741,PROD0029,24-01-2024,30-01-2024,Cash,3,2,Delivered
ORD00274,CUST03954,PROD0212,05-02-2024,12-02-2024,Cash,3,4,Delivered
ORD00275,CUST02124,PROD0045,01-11-2024,07-11-2024,Card,4,5,Delivered
ORD00276,CUST03201,PROD0179,23-07-2023,29-07-2023,Card,2,1,Delivered
ORD00277,CUST04244,PROD0025,29-11-2024,09-12-2024,Cash,3,5,Delivered
ORD00278,CUST01585,PROD0130,11-09-2023,13-09-2023,UPI,2,3,Delivered
ORD00279,CUST01759,PROD0154,11-07-2024,21-07-2024,UPI,5,1,Delivered
ORD00280,CUST04015,PROD0053,29-12-2023,01-01-2024,UPI,1,2,Delivered
ORD00281,CUST01965,PROD0139,16-07-2023,19-07-2023,UPI,5,4,Delivered
ORD00282,CUST00080,PROD0080,16-09-2022,20-09-2022,Card,1,1,Delivered
ORD00283,CUST04717,PROD0237,14-06-2022,16-06-2022,Card,4,3,Delivered
ORD00284,CUST01383,PROD0137,19-06-2022,28-06-2022,UPI,5,2,Delivered
ORD00285,CUST01187,PROD0083,04-11-2024,12-11-2024,Cash,5,1,Delivered
ORD00286,CUST00787,PROD0083,27-03-2022,03-04-2022,UPI,5,1,Delivered
ORD00287,CUST04392,PROD0178,07-01-2023,15-01-2023,Card,4,1,Delivered
ORD00288,CUST03713,PROD0090,16-04-2023,26-04-2023,UPI,2,5,Delivered
ORD00289,CUST00495,PROD0059,15-03-2024,25-03-2024,Card,5,5,Delivered
ORD00290,CUST02093,PROD0009,27-07-2023,29-07-2023,Cash,1,4,Delivered
ORD00291,CUST03883,PROD0146,26-04-2023,05-05-2023,Card,2,1,Delivered
ORD00292,CUST03967,PROD0174,28-04-2024,05-05-2024,Cash,5,4,Delivered
ORD00293,CUST03714,PROD0133,14-06-2022,24-06-2022,Card,1,1,Delivered
ORD00294,CUST03343,PROD0015,07-01-2024,12-01-2024,UPI,2,5,Delivered
ORD00295,CUST03795,PROD0092,25-08-2023,30-08-2023,UPI,3,5,Delivered
ORD00296,CUST04849,PROD0113,25-02-2022,04-03-2022,Card,4,3,Delivered
ORD00297,CUST03628,PROD0156,19-08-2022,,Cash,,2,Cancelled
ORD00298,CUST02797,PROD0233,24-12-2024,02-01-2025,Cash,5,4,Delivered
ORD00299,CUST03366,PROD0158,21-08-2022,23-08-2022,Cash,4,3,Delivered
ORD00300,CUST04023,PROD0002,29-11-2022,04-12-2022,UPI,2,3,Delivered
ORD00301,CUST04435,PROD0002,19-04-2024,28-04-2024,UPI,4,2,Delivered
ORD00302,CUST04880,PROD0179,12-10-2023,19-10-2023,Cash,3,2,Delivered
ORD00303,CUST04213,PROD0034,17-11-2024,,UPI,,5,Cancelled
ORD00304,CUST02030,PROD0057,04-07-2022,06-07-2022,Cash,5,3,Delivered
ORD00305,CUST01509,PROD0217,18-07-2023,,Card,,2,Cancelled
ORD00306,CUST01342,PROD0204,26-06-2024,,UPI,,2,Cancelled
ORD00307,CUST00751,PROD0196,05-04-2022,10-04-2022,UPI,2,4,Delivered
ORD00308,CUST02576,PROD0061,30-12-2024,,UPI,2,2,Returned
ORD00309,CUST01948,PROD0057,01-02-2022,,Card,1,5,Returned
ORD00310,CUST01350,PROD0018,26-07-2022,05-08-2022,UPI,3,2,Delivered
ORD00311,CUST02564,PROD0041,04-11-2022,08-11-2022,UPI,5,4,Delivered
ORD00312,CUST00291,PROD0001,07-06-2023,13-06-2023,Card,3,3,Delivered
ORD00313,CUST00372,PROD0008,27-06-2022,03-07-2022,Cash,3,5,Delivered
ORD00314,CUST02931,PROD0173,03-12-2023,11-12-2023,UPI,4,2,Delivered
ORD00315,CUST02484,PROD0189,22-02-2022,02-03-2022,UPI,3,1,Delivered
ORD00316,CUST01968,PROD0004,13-08-2023,,Card,3,5,Returned
ORD00317,CUST04567,PROD0134,31-10-2022,,UPI,,4,Cancelled
ORD00318,CUST03982,PROD0049,01-04-2023,04-04-2023,UPI,1,5,Delivered
ORD00319,CUST02815,PROD0210,21-12-2022,24-12-2022,Cash,1,3,Delivered
ORD00320,CUST02166,PROD0087,05-03-2022,,UPI,3,4,Returned
ORD00321,CUST02955,PROD0177,03-08-2023,,Card,1,1,Returned
